1000028|AIM SAFETY CO INC|REVOKED|2015-12-21|edgar/data/1000028/9999999997-15-015914.txt|edgar/data/1000028/9999999997-15-015914-index.html
1000032|BINCH JAMES G|4|2015-12-02|edgar/data/1000032/0001209191-15-082911.txt|edgar/data/1000032/0001209191-15-082911-index.html
1000032|BINCH JAMES G|4|2015-12-11|edgar/data/1000032/0001209191-15-084690.txt|edgar/data/1000032/0001209191-15-084690-index.html
1000045|NICHOLAS FINANCIAL INC|10-Q|2015-11-09|edgar/data/1000045/0001193125-15-371499.txt|edgar/data/1000045/0001193125-15-371499-index.html
1000045|NICHOLAS FINANCIAL INC|8-K|2015-10-29|edgar/data/1000045/0001193125-15-357258.txt|edgar/data/1000045/0001193125-15-357258-index.html
1000045|NICHOLAS FINANCIAL INC|SC 13G/A|2015-11-03|edgar/data/1000045/0001436857-15-000017.txt|edgar/data/1000045/0001436857-15-000017-index.html
"1000097|KINGDON CAPITAL MANAGEMENT, L.L.C.|13F-HR|2015-11-16|edgar/data/1000097/0000919574-15-008246.txt|edgar/data/1000097/0000919574-15-008246-index.html"
"1000097|KINGDON CAPITAL MANAGEMENT, L.L.C.|SC 13G|2015-12-23|edgar/data/1000097/0000919574-15-008800.txt|edgar/data/1000097/0000919574-15-008800-index.html"
1000177|NORDIC AMERICAN TANKERS Ltd|6-K|2015-11-12|edgar/data/1000177/0000919574-15-007734.txt|edgar/data/1000177/0000919574-15-007734-index.html
1000177|NORDIC AMERICAN TANKERS Ltd|6-K|2015-11-12|edgar/data/1000177/0000919574-15-007742.txt|edgar/data/1000177/0000919574-15-007742-index.html
1000177|NORDIC AMERICAN TANKERS Ltd|SC 13D/A|2015-11-17|edgar/data/1000177/0000919574-15-008279.txt|edgar/data/1000177/0000919574-15-008279-index.html
1000180|SANDISK CORP|10-Q|2015-10-30|edgar/data/1000180/0001000180-15-000051.txt|edgar/data/1000180/0001000180-15-000051-index.html
